@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
1,'2023/04/30 03:02:13:041',1,67,117,163,131,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
2,'2023/04/30 03:02:13:145',1,64,116,163,131,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
3,'2023/04/30 03:02:13:147',1,60,113,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
4,'2023/04/30 03:02:13:148',1,62,116,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
5,'2023/04/30 03:02:13:148',1,60,113,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
6,'2023/04/30 03:02:13:148',1,63,113,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
7,'2023/04/30 03:02:13:148',1,64,115,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
8,'2023/04/30 03:02:13:153',1,66,112,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
9,'2023/04/30 03:02:13:173',1,65,113,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
10,'2023/04/30 03:02:13:186',1,63,114,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
11,'2023/04/30 03:02:13:202',1,60,114,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
12,'2023/04/30 03:02:13:219',1,63,117,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
13,'2023/04/30 03:02:13:235',1,62,115,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
14,'2023/04/30 03:02:13:254',1,62,114,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
15,'2023/04/30 03:02:13:276',1,63,116,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
16,'2023/04/30 03:02:13:288',1,64,113,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
17,'2023/04/30 03:02:13:301',1,65,114,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
18,'2023/04/30 03:02:13:327',1,66,115,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
19,'2023/04/30 03:02:13:335',1,64,113,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
20,'2023/04/30 03:02:13:353',1,63,115,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
21,'2023/04/30 03:02:13:368',1,64,115,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
22,'2023/04/30 03:02:13:386',1,67,114,162,131,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
23,'2023/04/30 03:02:13:409',1,68,116,162,130,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
24,'2023/04/30 03:02:13:418',1,65,113,162,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
25,'2023/04/30 03:02:13:443',1,64,116,162,128,45,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
26,'2023/04/30 03:02:13:451',1,64,115,162,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
27,'2023/04/30 03:02:13:478',1,66,112,162,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
28,'2023/04/30 03:02:13:484',1,68,113,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
29,'2023/04/30 03:02:13:501',1,68,110,162,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
30,'2023/04/30 03:02:13:519',1,68,111,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
31,'2023/04/30 03:02:13:534',1,69,111,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
32,'2023/04/30 03:02:13:552',1,72,110,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
33,'2023/04/30 03:02:13:568',1,72,113,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
34,'2023/04/30 03:02:13:584',1,69,114,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
35,'2023/04/30 03:02:13:601',1,68,114,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
36,'2023/04/30 03:02:13:618',1,68,114,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
